id,cluster,Lat,Lon
777,Reform cases,-3.7825,-78.54694444
779,Resists cases,-3.58,-78.43138889
780,Reform cases,-3.1075,-78.52833333
781,Resists cases,13.833,-88.716
782,Resists cases,14.71694444,-90.64583333
783,Resists cases,14.36805556,-89.66472222
785,Resists cases,15.23333333,-91.69583333
786,Reform cases,14.75944444,-88.93666667
787,Reform cases,15.12055556,-88.40166667
788,Reform cases,14.70222222,-87.11972222
789,Resists cases,22.2236,-100.8005
791,Reform cases,7.560555556,-80.5175
792,Resists cases,8.648333333,-82.13027778
793,Resists cases,8.836901688,-80.64788818
794,Reform cases,8.010555556,-81.31194444
795,Resists cases,-4.134444444,-78.03055556
796,Reform cases,-8.151388889,-78.17722222
798,Reform cases,-13.97027778,-75.08888889
799,Reform cases,-12.0394,-77.1019
800,Reform cases,-6.049166667,-79.26611111
802,Resists cases,-14.44583333,-72.08305556
803,Resists cases,-6.949722222,-78.36888889
804,Resists cases,-17.03972222,-70.71027778
805,Resists cases,-7.250277778,-78.3775
806,Resists cases,-11.5975,-76.14027778
807,Resists cases,-9.450555556,-77.58611111
808,Resists cases,-17.10361111,-70.62083333
811,Resists cases,-6.9125,-78.77861111
812,Reform cases,-17.01166667,-71.76805556
814,Reform cases,18.95222222,-69.74944444
815,Resists cases,18.94527778,-70.17611111
816,Reform cases,18.97694444,-69.38
817,Transform cases,10.223333330000001,-61.55638889
820,Reform cases,-5.849985442,110.4441833
821,Resists cases,5.70091783,6.442118883
823,Reform cases,0.422969791,30.32913208
825,Reform cases,-4.064275277,22.67028809
826,Reform cases,-25.82461662,32.44812012
829,Reform cases,-5.229084429,141.1180115
830,Resists cases,70.7108,-149.7875
832,Resists cases,-11.163919,-74.233932
834,Reform cases,25.209481,116.732507
835,Reform cases,7.465964348,-74.90753174
836,Reform cases,28.85910757,-89.19250488
837,Reform cases,6.446317749,-58.61206055
838,Reform cases,-24.22692866,29.04785156
840,Reform cases,-34.1981731,18.89648438
842,Reform cases,14.66862591,95.11962891
843,Transform cases,59.07444815,37.90283203
844,Reform cases,-9.968850609,33.92578125
845,Reform cases,-7.013667928,39.24316406
